Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,49,Vanilla,BSD2 GR 6/14 P4.8 Equity,Put,5.498,4.8,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,BSD2 GR 6/14 P4.8 Equity,Put,7.842,4.8,100,06/20/2014,
06/20/2014,Buy,52,Vanilla,BSD2 GR 6/15 P7 Equity,Put,7.842,7,100,06/19/2015,
06/19/2015,Sell,59.4,Vanilla,BSD2 GR 6/15 P7 Equity,Put,6.406,7,100,06/19/2015,
06/19/2015,Buy,41,Vanilla,BSD2 GR 6/16 P5.75 Equity,Put,6.406,5.75,100,06/17/2016,
06/17/2016,Sell,194.4,Vanilla,BSD2 GR 6/16 P5.75 Equity,Put,3.806,5.75,100,06/17/2016,
06/17/2016,Buy,45,Vanilla,BSD2 GR 6/17 P3.3 Equity,Put,3.806,3.3,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,BSD2 GR 6/17 P3.3 Equity,Put,5.854,3.3,100,06/16/2017,
06/16/2017,Buy,53,Vanilla,BSD2 GR 6/18 P5.16 G2 Equity,Put,5.854,5.25,100,06/15/2018,
06/15/2018,Sell,0,Vanilla,BSD2 GR 6/18 P5.16 G2 Equity,Put,4.6815,5.34,98.3556,06/15/2018,
06/15/2018,Buy,40.129085,Vanilla,SAN SM 6 P4.13 Equity,Put,4.6815,4.13,100.322712,06/21/2019,
08/22/2018,Sell,33.106496,Vanilla,SAN SM 6 P4.13 Equity,Put,4.351,4.13,100.322712,06/21/2019,
