Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,58,Vanilla,BSD2 GR 6/14 P5 Equity,Put,5.498,5,100,06/20/2014,
06/01/2013,Sell,35,Vanilla,BSD2 GR 6/14 P4.5 Equity,Put,5.498,4.5,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,BSD2 GR 6/14 P5 Equity,Put,7.842,5,100,06/20/2014,
06/20/2014,Buy,0,Vanilla,BSD2 GR 6/14 P4.5 Equity,Put,7.842,4.5,100,06/20/2014,
06/20/2014,Buy,63,Vanilla,BSD2 GR 6/15 P7.25 Equity,Put,7.842,7.25,100,06/19/2015,
06/20/2014,Sell,27,Vanilla,BSD2 GR 6/15 P6.5 Equity,Put,7.842,6.5,100,06/19/2015,
06/19/2015,Sell,84.4,Vanilla,BSD2 GR 6/15 P7.25 Equity,Put,6.406,7.25,100,06/19/2015,
06/19/2015,Buy,9.4,Vanilla,BSD2 GR 6/15 P6.5 Equity,Put,6.406,6.5,100,06/19/2015,
06/19/2015,Buy,52,Vanilla,BSD2 GR 6/16 P6 Equity,Put,6.406,6,100,06/17/2016,
06/19/2015,Sell,19,Vanilla,BSD2 GR 6/16 P5.25 Equity,Put,6.406,5.25,100,06/17/2016,
06/17/2016,Sell,219.4,Vanilla,BSD2 GR 6/16 P6 Equity,Put,3.806,6,100,06/17/2016,
06/17/2016,Buy,144.4,Vanilla,BSD2 GR 6/16 P5.25 Equity,Put,3.806,5.25,100,06/17/2016,
06/17/2016,Buy,54,Vanilla,BSD2 GR 6/17 P3.5 Equity,Put,3.806,3.5,100,06/16/2017,
06/17/2016,Sell,31,Vanilla,BSD2 GR 6/17 P3.1 Equity,Put,3.806,3.1,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,BSD2 GR 6/17 P3.5 Equity,Put,5.854,3.5,100,06/16/2017,
06/16/2017,Buy,0,Vanilla,BSD2 GR 6/17 P3.1 Equity,Put,5.854,3.1,100,06/16/2017,
06/16/2017,Buy,63,Vanilla,BSD2 GR 6/18 P5.41 G2 Equity,Put,5.854,5.5,100,06/15/2018,
06/16/2017,Sell,25,Vanilla,BSD2 GR 6/18 P4.8 G2 Equity,Put,5.854,4.8,100,06/15/2018,
06/15/2018,Sell,0,Vanilla,BSD2 GR 6/18 P5.41 G2 Equity,Put,4.6815,5.59,98.3556,06/15/2018,
06/15/2018,Buy,0,Vanilla,BSD2 GR 6/18 P4.8 G2 Equity,Put,4.6815,4.88,98.3556,06/15/2018,
06/15/2018,Buy,46.148448,Vanilla,SAN SM 6 P4.33 Equity,Put,4.6815,4.33,100.322712,06/21/2019,
06/15/2018,Sell,11.035498,Vanilla,SAN SM 6 P3.84 Equity,Put,4.6815,3.84,100.322712,06/21/2019,
08/22/2018,Sell,41.132312,Vanilla,SAN SM 6 P4.33 Equity,Put,4.3525,4.33,100.322712,06/21/2019,
08/22/2018,Buy,23.074224,Vanilla,SAN SM 6 P3.84 Equity,Put,4.3525,3.84,100.322712,06/21/2019,
