Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
6/1/2013,Buy,361.999989,Vanilla,SGE GR 6/14 P28 Equity,Put,30.595,28,100,6/20/2014,
6/1/2013,Sell,182.000005,Vanilla,SGE GR 6/14 P24 Equity,Put,30.595,24,100,6/20/2014,
6/20/2014,Sell,0,Vanilla,SGE GR 6/14 P28 Equity,Put,40.87,28,100,6/20/2014,
6/20/2014,Buy,0,Vanilla,SGE GR 6/14 P24 Equity,Put,40.87,24,100,6/20/2014,
6/20/2014,Buy,256.999993,Vanilla,SGE GR 6/15 P36 Equity,Put,40.87,36,100,6/19/2015,
6/20/2014,Sell,125,Vanilla,SGE GR 6/15 P32 Equity,Put,40.87,32,100,6/19/2015,
6/19/2015,Sell,0,Vanilla,SGE GR 6/15 P36 Equity,Put,42.405,36,100,6/19/2015,
6/19/2015,Buy,0,Vanilla,SGE GR 6/15 P32 Equity,Put,42.405,32,100,6/19/2015,
6/19/2015,Buy,380,Vanilla,SGE GR 6/16 P40 Equity,Put,42.405,40,100,6/17/2016,
6/19/2015,Sell,116,Vanilla,SGE GR 6/16 P32 Equity,Put,42.405,32,100,6/17/2016,
6/17/2016,Sell,713,Vanilla,SGE GR 6/16 P40 Equity,Put,32.87,40,100,6/17/2016,
6/17/2016,Buy,0,Vanilla,SGE GR 6/16 P32 Equity,Put,32.87,32,100,6/17/2016,
6/17/2016,Buy,44.6,Vanilla,GL3 FP 6/17 P30 Equity,Put,32.87,30,100,6/16/2017,
6/17/2016,Sell,26.9,Vanilla,GL3 FP 6/17 P26 Equity,Put,32.87,26,100,6/16/2017,
6/16/2017,Sell,0,Vanilla,GL3 FP 6/17 P30 Equity,Put,46.49,30,100,6/16/2017,
6/16/2017,Buy,0,Vanilla,GL3 FP 6/17 P26 Equity,Put,46.49,26,100,6/16/2017,
6/16/2017,Buy,530.999994,Vanilla,SGE GR 6/18 P44 Equity,Put,46.49,44,100,6/15/2018,
6/16/2017,Sell,207.999992,Vanilla,SGE GR 6/18 P36 Equity,Put,46.49,36,100,6/15/2018,
6/15/2018,Sell,708.5,Vanilla,SGE GR 6/18 P44 Equity,Put,36.915,44,100,6/15/2018,
6/15/2018,Buy,0,Vanilla,SGE GR 6/18 P36 Equity,Put,36.915,36,100,6/15/2018,
6/15/2018,Buy,281.999993,Vanilla,SGE GR 6 P34 Equity,Put,36.915,34,100,6/21/2019,
6/15/2018,Sell,134,Vanilla,GL1 FP 6 P30 Equity,Put,36.915,30,100,6/21/2019,
8/22/2018,Sell,279,Vanilla,SGE GR 6 P34 Equity,Put,36.04,34,100,6/21/2019,
8/22/2018,Buy,138,Vanilla,GL1 FP 6 P30 Equity,Put,36.04,30,100,6/21/2019,
