Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,297,Vanilla,SGE GR 12/13 P30 Equity,Put,30.595,30,100,12/20/2013,
12/20/2013,Sell,0,Vanilla,SGE GR 12/13 P30 Equity,Put,40.895,30,100,12/20/2013,
12/20/2013,Buy,314.00001,Vanilla,SGE GR 6/14 P40 Equity,Put,40.895,40,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,SGE GR 6/14 P40 Equity,Put,40.87,40,100,06/20/2014,
06/20/2014,Buy,254,Vanilla,SGE GR 12/14 P40 Equity,Put,40.87,40,100,12/19/2014,
12/19/2014,Sell,554,Vanilla,SGE GR 12/14 P40 Equity,Put,34.46,40,100,12/19/2014,
12/19/2014,Buy,327,Vanilla,SGE GR 6/15 P34 Equity,Put,34.46,34,100,06/19/2015,
06/19/2015,Sell,0,Vanilla,SGE GR 6/15 P34 Equity,Put,42.405,34,100,06/19/2015,
06/19/2015,Buy,217.000008,Vanilla,SGE GR 12/15 P40 Equity,Put,42.405,40,100,12/18/2015,
12/18/2015,Sell,0,Vanilla,SGE GR 12/15 P40 Equity,Put,42.915,40,100,12/18/2015,
12/18/2015,Buy,379,Vanilla,SGE GR 6/16 P42 Equity,Put,42.915,42,100,06/17/2016,
06/17/2016,Sell,913,Vanilla,SGE GR 6/16 P42 Equity,Put,32.87,42,100,06/17/2016,
06/17/2016,Buy,360.99999,Vanilla,SGE GR 12/16 P32 Equity,Put,32.87,32,100,12/16/2016,
12/16/2016,Sell,0,Vanilla,SGE GR 12/16 P32 Equity,Put,46.955,32,100,12/16/2016,
12/16/2016,Buy,478.000021,Vanilla,SGE GR 6/17 P46 Equity,Put,46.955,46,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,SGE GR 6/17 P46 Equity,Put,46.49,46,100,06/16/2017,
06/16/2017,Buy,270,Vanilla,SGE GR 12/17 P44 Equity,Put,46.49,44,100,12/15/2017,
12/15/2017,Sell,80.5,Vanilla,SGE GR 12/17 P44 Equity,Put,43.195,44,100,12/15/2017,
12/15/2017,Buy,348,Vanilla,SGE GR 6/18 P42 Equity,Put,43.195,42,100,06/15/2018,
06/15/2018,Sell,508.5,Vanilla,SGE GR 6/18 P42 Equity,Put,36.915,42,100,06/15/2018,
06/15/2018,Buy,183,Vanilla,SGE GR 12 P36 Equity,Put,36.915,36,100,12/21/2018,
08/22/2018,Sell,167,Vanilla,SGE GR 12 P36 Equity,Put,36.04,36,100,12/21/2018,
