Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
6/1/2013,Buy,361.999989,Vanilla,SGE GR 6/14 P28 Equity,Put,30.595,28,100,6/20/2014,
6/1/2013,Buy,305.999994,Vanilla,SGE GR 6/14 P22 Equity,Put,30.595,22,100,6/20/2014,
6/1/2013,Buy,330.000007,Vanilla,SGE GR 6/14 P20 Equity,Put,30.595,20,200,6/20/2014,
6/20/2014,Sell,0,Vanilla,SGE GR 6/14 P28 Equity,Put,40.87,28,100,6/20/2014,
6/20/2014,Sell,0,Vanilla,SGE GR 6/14 P22 Equity,Put,40.87,22,100,6/20/2014,
6/20/2014,Sell,0,Vanilla,SGE GR 6/14 P20 Equity,Put,40.87,20,200,6/20/2014,
6/20/2014,Buy,256.999993,Vanilla,SGE GR 6/15 P36 Equity,Put,40.87,36,100,6/19/2015,
6/20/2014,Buy,276,Vanilla,SGE GR 6/15 P32 Equity,Put,40.87,32,100,6/19/2015,
6/20/2014,Buy,207,Vanilla,SGE GR 6/15 P28 Equity,Put,40.87,28,200,6/19/2015,
6/19/2015,Sell,0,Vanilla,SGE GR 6/15 P36 Equity,Put,42.405,36,100,6/19/2015,
6/19/2015,Sell,0,Vanilla,SGE GR 6/15 P32 Equity,Put,42.405,32,100,6/19/2015,
6/19/2015,Sell,0,Vanilla,SGE GR 6/15 P28 Equity,Put,42.405,28,200,6/19/2015,
6/19/2015,Buy,224,Vanilla,SGE GR 6/16 P36 Equity,Put,42.405,36,100,6/17/2016,
6/19/2015,Buy,250,Vanilla,SGE GR 6/16 P32 Equity,Put,42.405,32,100,6/17/2016,
6/19/2015,Buy,204,Vanilla,SGE GR 6/16 P28 Equity,Put,42.405,28,200,6/17/2016,
6/17/2016,Sell,313,Vanilla,SGE GR 6/16 P36 Equity,Put,32.87,36,100,6/17/2016,
6/17/2016,Sell,0,Vanilla,SGE GR 6/16 P32 Equity,Put,32.87,32,100,6/17/2016,
6/17/2016,Sell,0,Vanilla,SGE GR 6/16 P28 Equity,Put,32.87,28,200,6/17/2016,
6/17/2016,Buy,360.99999,Vanilla,SGE GR 6/17 P28 Equity,Put,32.87,28,100,6/16/2017,
6/17/2016,Buy,450,Vanilla,SGE GR 6/17 P24 Equity,Put,32.87,24,100,6/16/2017,
6/17/2016,Buy,525,Vanilla,SGE GR 6/17 P22 Equity,Put,32.87,22,200,6/16/2017,
6/16/2017,Sell,0,Vanilla,SGE GR 6/17 P28 Equity,Put,46.49,28,100,6/16/2017,
6/16/2017,Sell,0,Vanilla,SGE GR 6/17 P24 Equity,Put,46.49,24,100,6/16/2017,
6/16/2017,Sell,0,Vanilla,SGE GR 6/17 P22 Equity,Put,46.49,22,200,6/16/2017,
6/16/2017,Buy,354,Vanilla,SGE GR 6/18 P40 Equity,Put,46.49,40,100,6/15/2018,
6/16/2017,Buy,446,Vanilla,SGE GR 6/18 P36 Equity,Put,46.49,36,100,6/15/2018,
6/16/2017,Buy,402.00001,Vanilla,SGE GR 6/18 P32 Equity,Put,46.49,32,200,6/15/2018,
6/15/2018,Sell,308.5,Vanilla,SGE GR 6/18 P40 Equity,Put,36.915,40,100,6/15/2018,
6/15/2018,Sell,0,Vanilla,SGE GR 6/18 P36 Equity,Put,36.915,36,100,6/15/2018,
6/15/2018,Sell,0,Vanilla,SGE GR 6/18 P32 Equity,Put,36.915,32,200,6/15/2018,
6/15/2018,Buy,203,Vanilla,SGE GR 6 P32 Equity,Put,36.915,32,100,6/21/2019,
6/15/2018,Buy,200,Vanilla,SGE GR 6 P28 Equity,Put,36.915,28,100,6/21/2019,
6/15/2018,Buy,16.2,Vanilla,GL3 FP 6 P25 Equity,Put,36.915,25,200,6/21/2019,
8/22/2018,Sell,196,Vanilla,SGE GR 6 P32 Equity,Put,36.04,32,100,6/21/2019,
8/22/2018,Sell,178,Vanilla,SGE GR 6 P28 Equity,Put,36.04,28,100,6/21/2019,
8/22/2018,Sell,12.3,Vanilla,GL3 FP 6 P25 Equity,Put,36.04,25,200,6/21/2019,
