Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
06/01/2013,Buy,153,Vanilla,SGE GR 6/14 P22 Equity,Put,30.595,22,100,06/20/2014,
06/20/2014,Sell,0,Vanilla,SGE GR 6/14 P22 Equity,Put,40.87,22,100,06/20/2014,
06/20/2014,Buy,69,Vanilla,SGE GR 6/15 P28 Equity,Put,40.87,28,100,06/19/2015,
06/19/2015,Sell,0,Vanilla,SGE GR 6/15 P28 Equity,Put,42.405,28,100,06/19/2015,
06/19/2015,Buy,125,Vanilla,SGE GR 6/16 P32 Equity,Put,42.405,32,100,06/17/2016,
06/17/2016,Sell,0,Vanilla,SGE GR 6/16 P32 Equity,Put,32.87,32,100,06/17/2016,
06/17/2016,Buy,225,Vanilla,SGE GR 6/17 P24 Equity,Put,32.87,24,100,06/16/2017,
06/16/2017,Sell,0,Vanilla,SGE GR 6/17 P24 Equity,Put,46.49,24,100,06/16/2017,
06/16/2017,Buy,134,Vanilla,SGE GR 6/18 P32 Equity,Put,46.49,32,100,06/15/2018,
06/15/2018,Sell,0,Vanilla,SGE GR 6/18 P32 Equity,Put,36.915,32,100,06/15/2018,
06/15/2018,Buy,100,Vanilla,SGE GR 6 P28 Equity,Put,36.915,28,100,06/21/2019,
08/22/2018,Sell,89,Vanilla,SGE GR 6 P28 Equity,Put,36.04,28,100,06/21/2019,
