Date,Direction,Amount,Style,Ticker,Call/Put,Spot,Strike,Shares,Expiry,Vol
6/1/2013,Buy,20,Vanilla,BSD2 GR 6/14 P4 Equity,Put,5.498,4,100,6/20/2014,
6/20/2014,Sell,0,Vanilla,BSD2 GR 6/14 P4 Equity,Put,7.842,4,100,6/20/2014,
6/20/2014,Buy,15,Vanilla,BSD2 GR 6/15 P5.75 Equity,Put,7.842,5.75,100,6/19/2015,
6/19/2015,Sell,0,Vanilla,BSD2 GR 6/15 P5.75 Equity,Put,6.406,5.75,100,6/19/2015,
6/19/2015,Buy,18,Vanilla,BSD2 GR 6/16 P4.6 Equity,Put,6.406,4.6,100,6/17/2016,
6/17/2016,Sell,79.39999,Vanilla,BSD2 GR 6/16 P4.6 Equity,Put,3.806,4.6,100,6/17/2016,
6/17/2016,Buy,38,Vanilla,BSD2 GR 6/17 P2.7 Equity,Put,3.806,2.7,100,6/16/2017,
6/16/2017,Sell,0,Vanilla,BSD2 GR 6/17 P2.7 Equity,Put,5.854,2.7,100,6/16/2017,
6/16/2017,Buy,25,Vanilla,BSD2 GR 6/18 P4.13 G2 Equity,Put,5.854,4.2,100,6/15/2018,
6/15/2018,Sell,0,Vanilla,BSD2 GR 6/18 P4.13 G2 Equity,Put,4.6815,4.27,98.3556,6/15/2018,
6/15/2018,Buy,20.064543,Vanilla,SAN SM 6 P3.34 Equity,Put,4.6815,3.34,100.322712,6/21/2019,
8/22/2018,Sell,8.025817,Vanilla,SAN SM 6 P3.34 Equity,Put,4.3535,3.34,100.322712,6/21/2019,
